               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.025348,            0.012321,                   0,             0.99688,                   1,               0.995,             0.68764,            0.014987,           0.0052903,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026408,            0.014197,                   0,             0.99691,                   1,               0.995,             0.72045,            0.013253,           0.0048979,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.023336,            0.011876,                   0,             0.99698,                   1,               0.995,             0.74961,            0.013872,           0.0049488,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.027177,            0.012911,                   0,             0.99367,                   1,               0.995,              0.7026,            0.013989,           0.0050732,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.025022,            0.011641,                   0,             0.99389,                   1,               0.995,             0.77687,            0.012823,             0.00499,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.024176,            0.013461,                   0,             0.99383,                   1,               0.995,             0.76538,            0.013783,           0.0049384,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.028375,             0.01239,                   0,             0.99632,                   1,               0.995,             0.77734,            0.013822,           0.0049129,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.02119,            0.012877,                   0,             0.99636,                   1,               0.995,             0.70079,            0.012307,           0.0048231,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.023342,            0.010535,                   0,             0.99647,                   1,               0.995,             0.72141,            0.015774,           0.0051397,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025963,            0.012723,                   0,             0.99706,                   1,               0.995,             0.71408,            0.013467,           0.0048811,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.027606,            0.012222,                   0,             0.99711,                   1,               0.995,             0.72433,            0.014271,           0.0048769,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029911,            0.013087,                   0,             0.99631,                   1,               0.995,             0.76619,            0.012538,           0.0048065,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.021839,           0.0099514,                   0,             0.99693,                   1,               0.995,              0.7358,            0.013014,           0.0049936,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.022508,            0.013185,                   0,             0.99674,                   1,               0.995,             0.73504,            0.012721,           0.0048973,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.022224,            0.011679,                   0,             0.99704,                   1,               0.995,             0.73104,            0.014566,           0.0050922,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025219,            0.015091,                   0,             0.99714,                   1,               0.995,             0.73226,            0.013121,           0.0047029,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.021784,            0.011377,                   0,             0.99707,                   1,               0.995,             0.74705,            0.013856,           0.0046678,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.023218,            0.013556,                   0,             0.99717,                   1,               0.995,             0.70944,            0.013884,           0.0046446,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024021,            0.013914,                   0,             0.99708,                   1,               0.995,             0.76717,            0.012044,           0.0044171,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.021852,            0.010919,                   0,             0.99711,                   1,               0.995,             0.75864,            0.012403,            0.004376,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.020342,            0.012116,                   0,             0.99704,                   1,               0.995,             0.77265,            0.013141,           0.0044695,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024946,            0.012547,                   0,               0.997,                   1,               0.995,             0.79219,            0.011514,           0.0041966,                   0,            0.007525,            0.007525,            0.007525
